s_m,Lat,Lon,curvature,track_width,lateral_offset,boundary_L_m,boundary_R_m,boundary_L_lat,boundary_L_lon,boundary_R_lat,boundary_R_lon
0.000000,39.235206,-77.969020,-0.000225,14.000000,0.675000,2.275000,11.725000,39.235200,-77.968995,39.235240,-77.969148
3.193626,39.235179,-77.969031,0.000007,14.000000,0.675000,2.275000,11.725000,39.235172,-77.969006,39.235213,-77.969160
6.387252,39.235152,-77.969043,0.000155,14.000000,0.675000,2.275000,11.725000,39.235145,-77.969018,39.235186,-77.969172
9.580879,39.235124,-77.969055,-0.000006,14.000000,0.675000,2.275000,11.725000,39.235118,-77.969030,39.235158,-77.969184
12.774505,39.235097,-77.969067,0.000155,14.000000,0.675000,2.275000,11.725000,39.235090,-77.969042,39.235131,-77.969196
15.968131,39.235070,-77.969079,0.000296,14.000000,0.675000,2.275000,11.725000,39.235063,-77.969054,39.235103,-77.969208
19.161757,39.235042,-77.969091,0.000159,14.000000,0.675000,2.275000,11.725000,39.235036,-77.969066,39.235076,-77.969220
22.355383,39.235015,-77.969102,0.000106,14.000000,0.675000,2.275000,11.725000,39.235008,-77.969077,39.235048,-77.969231
25.549010,39.234987,-77.969114,0.000179,14.000000,0.675000,2.275000,11.725000,39.234981,-77.969089,39.235021,-77.969243
28.742636,39.234960,-77.969126,0.000216,14.000000,0.675000,2.275000,11.725000,39.234953,-77.969101,39.234994,-77.969255
31.936262,39.234933,-77.969138,0.000084,14.000000,0.675000,2.275000,11.725000,39.234926,-77.969112,39.234966,-77.969267
35.129888,39.234905,-77.969149,-0.000017,14.000000,0.675000,2.275000,11.725000,39.234899,-77.969124,39.234939,-77.969278
38.323515,39.234878,-77.969161,-0.000131,14.000000,0.675000,2.275000,11.725000,39.234871,-77.969136,39.234911,-77.969290
41.517141,39.234850,-77.969173,-0.000128,14.000000,0.675000,2.275000,11.725000,39.234844,-77.969148,39.234884,-77.969302
44.710767,39.234823,-77.969184,0.000086,14.000000,0.675000,2.275000,11.725000,39.234816,-77.969159,39.234857,-77.969313
47.904393,39.234796,-77.969196,-0.000007,14.000000,0.675000,2.275000,11.725000,39.234789,-77.969171,39.234829,-77.969325
51.098019,39.234768,-77.969208,-0.000196,14.000000,0.675000,2.275000,11.725000,39.234762,-77.969183,39.234802,-77.969337
54.291646,39.234741,-77.969220,-0.000064,14.000000,0.675000,2.275000,11.725000,39.234734,-77.969195,39.234774,-77.969349
57.485272,39.234713,-77.969231,-0.000081,14.000000,0.675000,2.275000,11.725000,39.234707,-77.969206,39.234747,-77.969360
60.678898,39.234686,-77.969243,-0.000159,14.000000,0.675000,2.275000,11.725000,39.234679,-77.969218,39.234720,-77.969372
63.872524,39.234659,-77.969255,0.000049,14.000000,0.675000,2.275000,11.725000,39.234652,-77.969230,39.234692,-77.969384
67.066150,39.234631,-77.969267,0.000242,14.000000,0.675000,2.275000,11.725000,39.234625,-77.969242,39.234665,-77.969396
70.259777,39.234604,-77.969278,0.000003,14.000000,0.675000,2.275000,11.725000,39.234597,-77.969253,39.234637,-77.969407
73.453403,39.234576,-77.969290,-0.000097,14.000000,0.675000,2.275000,11.725000,39.234570,-77.969265,39.234610,-77.969419
76.647029,39.234549,-77.969302,0.000080,14.000000,0.675000,2.275000,11.725000,39.234542,-77.969277,39.234583,-77.969431
79.840655,39.234522,-77.969314,0.000052,14.000000,0.675000,2.275000,11.725000,39.234515,-77.969289,39.234555,-77.969443
83.034282,39.234494,-77.969325,0.000059,14.000000,0.675000,2.275000,11.725000,39.234488,-77.969300,39.234528,-77.969454
86.227908,39.234467,-77.969337,-0.000391,14.000000,0.675000,2.275000,11.725000,39.234460,-77.969312,39.234500,-77.969466
89.421534,39.234439,-77.969349,-0.000426,14.000000,0.675000,2.275000,11.725000,39.234433,-77.969324,39.234473,-77.969478
92.615160,39.234412,-77.969361,0.000105,14.000000,0.675000,2.275000,11.725000,39.234405,-77.969336,39.234446,-77.969490
95.808786,39.234385,-77.969373,0.000058,14.000000,0.675000,2.275000,11.725000,39.234378,-77.969348,39.234418,-77.969501
99.002413,39.234357,-77.969384,-0.000054,14.000000,0.675000,2.275000,11.725000,39.234351,-77.969359,39.234391,-77.969513
102.196039,39.234330,-77.969396,0.000056,14.000000,0.675000,2.275000,11.725000,39.234323,-77.969371,39.234364,-77.969525
105.389665,39.234302,-77.969408,0.000114,14.000000,0.675000,2.275000,11.725000,39.234296,-77.969383,39.234336,-77.969537
108.583291,39.234275,-77.969420,-0.000208,14.000000,0.675000,2.275000,11.725000,39.234269,-77.969395,39.234309,-77.969549
111.776917,39.234248,-77.969432,-0.000349,14.000000,0.675000,2.275000,11.725000,39.234241,-77.969407,39.234282,-77.969560
114.970544,39.234220,-77.969443,-0.000152,14.000000,0.675000,2.275000,11.725000,39.234214,-77.969418,39.234254,-77.969572
118.164170,39.234193,-77.969455,-0.000182,14.000000,0.675000,2.275000,11.725000,39.234186,-77.969430,39.234227,-77.969584
121.357796,39.234166,-77.969467,-0.000231,14.000000,0.675000,2.275000,11.725000,39.234159,-77.969442,39.234200,-77.969596
124.551422,39.234138,-77.969479,-0.000292,14.000000,0.675000,2.275000,11.725000,39.234132,-77.969454,39.234172,-77.969608
127.745048,39.234111,-77.969491,-0.000205,14.000000,0.675000,2.275000,11.725000,39.234104,-77.969466,39.234145,-77.969620
130.938675,39.234084,-77.969503,-0.000001,14.000000,0.675000,2.275000,11.725000,39.234077,-77.969478,39.234118,-77.969632
134.132301,39.234056,-77.969515,-0.000124,14.000000,0.675000,2.275000,11.725000,39.234050,-77.969490,39.234091,-77.969644
137.325927,39.234029,-77.969527,-0.000131,14.000000,0.675000,2.275000,11.725000,39.234022,-77.969502,39.234063,-77.969656
140.519553,39.234002,-77.969539,0.000017,14.000000,0.675000,2.275000,11.725000,39.233995,-77.969514,39.234036,-77.969668
143.713180,39.233974,-77.969551,0.000034,14.000000,0.675000,2.275000,11.725000,39.233968,-77.969526,39.234009,-77.969680
146.906806,39.233947,-77.969563,-0.000136,14.000000,0.675000,2.275000,11.725000,39.233940,-77.969538,39.233981,-77.969692
150.100432,39.233920,-77.969575,-0.000139,14.000000,0.675000,2.275000,11.725000,39.233913,-77.969550,39.233954,-77.969704
153.294058,39.233892,-77.969587,0.000160,14.000000,0.675000,2.275000,11.725000,39.233886,-77.969562,39.233927,-77.969716
156.487684,39.233865,-77.969599,0.000072,14.000000,0.675000,2.275000,11.725000,39.233858,-77.969574,39.233899,-77.969728
159.681311,39.233838,-77.969611,-0.000128,14.000000,0.675000,2.275000,11.725000,39.233831,-77.969586,39.233872,-77.969740
162.874937,39.233810,-77.969623,0.000000,14.000000,0.675000,2.275000,11.725000,39.233804,-77.969598,39.233845,-77.969752
166.068563,39.233783,-77.969635,-0.000015,14.000000,0.675000,2.275000,11.725000,39.233776,-77.969610,39.233817,-77.969764
169.262189,39.233756,-77.969647,-0.000153,14.000000,0.675000,2.275000,11.725000,39.233749,-77.969622,39.233790,-77.969776
172.455815,39.233728,-77.969659,0.000001,14.000000,0.675000,2.275000,11.725000,39.233722,-77.969634,39.233763,-77.969788
175.649442,39.233701,-77.969671,0.000079,14.000000,0.675000,2.275000,11.725000,39.233694,-77.969646,39.233735,-77.969800
178.843068,39.233674,-77.969683,0.000000,14.000000,0.675000,2.275000,11.725000,39.233667,-77.969658,39.233708,-77.969812
182.036694,39.233646,-77.969695,-0.000000,14.000000,0.675000,2.275000,11.725000,39.233640,-77.969670,39.233681,-77.969824
185.230320,39.233619,-77.969707,0.000049,14.000000,0.675000,2.275000,11.725000,39.233612,-77.969682,39.233653,-77.969836
188.423947,39.233592,-77.969719,0.000079,14.000000,0.675000,2.275000,11.725000,39.233585,-77.969694,39.233626,-77.969848
191.617573,39.233564,-77.969731,0.000047,14.000000,0.675000,2.275000,11.725000,39.233558,-77.969706,39.233599,-77.969860
194.811199,39.233537,-77.969743,0.000075,14.000000,0.675000,2.275000,11.725000,39.233530,-77.969718,39.233571,-77.969872
198.004825,39.233510,-77.969755,0.000063,14.000000,0.675000,2.275000,11.725000,39.233503,-77.969730,39.233544,-77.969884
201.198451,39.233482,-77.969767,-0.000212,14.000000,0.675000,2.275000,11.725000,39.233476,-77.969742,39.233517,-77.969896
204.392078,39.233455,-77.969779,-0.000125,14.000000,0.675000,2.275000,11.725000,39.233448,-77.969754,39.233489,-77.969908
207.585704,39.233428,-77.969792,0.000388,14.000000,0.675000,2.275000,11.725000,39.233421,-77.969767,39.233462,-77.969920
210.779330,39.233400,-77.969803,0.000217,14.000000,0.675000,2.275000,11.725000,39.233394,-77.969778,39.233435,-77.969932
213.972956,39.233373,-77.969815,-0.000078,14.000000,0.675000,2.275000,11.725000,39.233366,-77.969790,39.233407,-77.969944
217.166582,39.233346,-77.969827,-0.000023,14.000000,0.675000,2.275000,11.725000,39.233339,-77.969802,39.233380,-77.969956
220.360209,39.233318,-77.969839,-0.000076,14.000000,0.675000,2.275000,11.725000,39.233312,-77.969814,39.233353,-77.969968
223.553835,39.233291,-77.969851,0.000048,14.000000,0.675000,2.275000,11.725000,39.233284,-77.969826,39.233325,-77.969980
226.747461,39.233264,-77.969863,0.000010,14.000000,0.675000,2.275000,11.725000,39.233257,-77.969838,39.233298,-77.969992
229.941087,39.233236,-77.969875,-0.000099,14.000000,0.675000,2.275000,11.725000,39.233230,-77.969850,39.233271,-77.970004
233.134713,39.233209,-77.969887,0.000194,14.000000,0.675000,2.275000,11.725000,39.233202,-77.969862,39.233243,-77.970016
236.328340,39.233182,-77.969899,0.000091,14.000000,0.675000,2.275000,11.725000,39.233175,-77.969874,39.233216,-77.970028
239.521966,39.233154,-77.969911,-0.000028,14.000000,0.675000,2.275000,11.725000,39.233148,-77.969886,39.233189,-77.970040
242.715592,39.233127,-77.969923,0.000308,14.000000,0.675000,2.275000,11.725000,39.233120,-77.969898,39.233161,-77.970052
245.909218,39.233100,-77.969935,0.000212,14.000000,0.675000,2.275000,11.725000,39.233093,-77.969910,39.233134,-77.970064
249.102845,39.233072,-77.969947,0.000036,14.000000,0.675000,2.275000,11.725000,39.233066,-77.969922,39.233106,-77.970076
252.296471,39.233045,-77.969959,0.000078,14.000000,0.675000,2.275000,11.725000,39.233038,-77.969934,39.233079,-77.970088
255.490097,39.233018,-77.969971,0.000082,14.000000,0.675000,2.275000,11.725000,39.233011,-77.969946,39.233052,-77.970100
258.683723,39.232990,-77.969983,0.000059,14.000000,0.675000,2.275000,11.725000,39.232984,-77.969958,39.233024,-77.970111
261.877349,39.232963,-77.969995,0.000203,14.000000,0.675000,2.275000,11.725000,39.232956,-77.969970,39.232997,-77.970123
265.070976,39.232935,-77.970006,0.000262,14.000000,0.675000,2.275000,11.725000,39.232929,-77.969981,39.232969,-77.970135
268.264602,39.232908,-77.970018,0.000129,14.000000,0.675000,2.275000,11.725000,39.232901,-77.969993,39.232942,-77.970147
271.458228,39.232881,-77.970030,0.000076,14.000000,0.675000,2.275000,11.725000,39.232874,-77.970005,39.232914,-77.970159
274.651854,39.232853,-77.970042,0.000091,14.000000,0.675000,2.275000,11.725000,39.232847,-77.970017,39.232887,-77.970171
277.845480,39.232826,-77.970054,0.000079,14.000000,0.675000,2.275000,11.725000,39.232819,-77.970029,39.232860,-77.970183
281.039107,39.232798,-77.970065,-0.000000,14.000000,0.675000,2.275000,11.725000,39.232792,-77.970040,39.232832,-77.970194
284.232733,39.232771,-77.970077,0.000256,14.000000,0.675000,2.275000,11.725000,39.232765,-77.970052,39.232805,-77.970206
287.426359,39.232744,-77.970089,0.000262,14.000000,0.675000,2.275000,11.725000,39.232737,-77.970064,39.232777,-77.970218
290.619985,39.232716,-77.970101,-0.000170,14.000000,0.675000,2.275000,11.725000,39.232710,-77.970076,39.232750,-77.970230
293.813612,39.232689,-77.970112,-0.000137,14.000000,0.675000,2.275000,11.725000,39.232682,-77.970087,39.232723,-77.970241
297.007238,39.232661,-77.970124,0.000398,14.000000,0.675000,2.275000,11.725000,39.232655,-77.970099,39.232695,-77.970253
300.200864,39.232634,-77.970136,0.000465,14.000000,0.675000,2.275000,11.725000,39.232628,-77.970111,39.232667,-77.970265
303.394490,39.232607,-77.970148,0.000054,14.000000,0.675000,2.275000,11.725000,39.232600,-77.970122,39.232640,-77.970277
306.588116,39.232579,-77.970159,0.000055,14.000000,0.675000,2.275000,11.725000,39.232573,-77.970134,39.232613,-77.970288
309.781743,39.232552,-77.970171,0.000167,14.000000,0.675000,2.275000,11.725000,39.232545,-77.970146,39.232585,-77.970300
312.975369,39.232524,-77.970182,0.000122,14.000000,0.675000,2.275000,11.725000,39.232518,-77.970157,39.232558,-77.970312
316.168995,39.232497,-77.970194,0.000217,14.000000,0.675000,2.275000,11.725000,39.232490,-77.970169,39.232530,-77.970323
319.362621,39.232469,-77.970206,0.000015,14.000000,0.675000,2.275000,11.725000,39.232463,-77.970181,39.232503,-77.970335
322.556247,39.232442,-77.970217,-0.000048,14.000000,0.675000,2.275000,11.725000,39.232436,-77.970192,39.232475,-77.970346
325.749874,39.232415,-77.970229,0.000001,14.000000,0.675000,2.275000,11.725000,39.232408,-77.970204,39.232448,-77.970358
328.943500,39.232387,-77.970240,-0.000093,14.000000,0.675000,2.275000,11.725000,39.232381,-77.970215,39.232420,-77.970370
332.137126,39.232360,-77.970252,0.000075,14.000000,0.675000,2.275000,11.725000,39.232353,-77.970227,39.232393,-77.970381
335.330752,39.232332,-77.970264,0.000078,14.000000,0.675000,2.275000,11.725000,39.232326,-77.970239,39.232365,-77.970393
338.524378,39.232305,-77.970275,0.000001,14.000000,0.675000,2.275000,11.725000,39.232298,-77.970250,39.232338,-77.970404
341.718005,39.232277,-77.970287,-0.000233,14.000000,0.656199,2.406610,11.593390,39.232271,-77.970260,39.232310,-77.970414
344.911631,39.232250,-77.970298,-0.000157,14.000000,0.618777,2.668564,11.331436,39.232242,-77.970269,39.232282,-77.970423
348.105257,39.232223,-77.970310,0.000077,14.000000,0.562917,3.059581,10.940419,39.232214,-77.970276,39.232254,-77.970431
351.298883,39.232195,-77.970322,0.000000,14.000000,0.507607,3.446750,10.553250,39.232185,-77.970284,39.232225,-77.970438
354.492510,39.232168,-77.970333,-0.000000,14.000000,0.452854,3.830019,10.169981,39.232157,-77.970291,39.232197,-77.970445
357.686136,39.232140,-77.970345,-0.000111,14.000000,0.417468,4.077722,9.922278,39.232129,-77.970300,39.232168,-77.970454
360.879762,39.232113,-77.970357,-0.000155,14.000000,0.401276,4.191067,9.808933,39.232101,-77.970310,39.232141,-77.970465
364.073388,39.232085,-77.970368,0.000033,14.000000,0.404103,4.171281,9.828719,39.232074,-77.970322,39.232113,-77.970476
367.267014,39.232058,-77.970380,-0.000032,14.000000,0.406969,4.151214,9.848786,39.232046,-77.970334,39.232086,-77.970488
370.460641,39.232031,-77.970391,-0.000216,14.000000,0.409877,4.130860,9.869140,39.232019,-77.970346,39.232059,-77.970500
373.654267,39.232003,-77.970403,0.000038,14.000000,0.412827,4.110213,9.889787,39.231991,-77.970358,39.232031,-77.970512
376.847893,39.231976,-77.970415,0.000080,14.000000,0.415819,4.089266,9.910734,39.231964,-77.970370,39.232004,-77.970524
380.041519,39.231948,-77.970426,-0.000212,14.000000,0.418855,4.068014,9.931986,39.231937,-77.970382,39.231977,-77.970536
383.235145,39.231921,-77.970438,-0.000116,14.000000,0.421936,4.046449,9.953551,39.231909,-77.970394,39.231949,-77.970548
386.428772,39.231893,-77.970450,0.000051,14.000000,0.425062,4.024565,9.975435,39.231882,-77.970406,39.231922,-77.970560
389.622398,39.231866,-77.970462,0.000024,14.000000,0.428235,4.002353,9.997647,39.231855,-77.970418,39.231895,-77.970572
392.816024,39.231839,-77.970473,-0.000129,14.000000,0.431456,3.979808,10.020192,39.231827,-77.970429,39.231867,-77.970584
396.009650,39.231811,-77.970485,-0.000221,14.000000,0.434726,3.956921,10.043079,39.231800,-77.970441,39.231840,-77.970595
399.203277,39.231784,-77.970497,-0.000112,14.000000,0.438045,3.933684,10.066316,39.231773,-77.970453,39.231813,-77.970607
402.396903,39.231756,-77.970508,0.000053,14.000000,0.441416,3.910089,10.089911,39.231745,-77.970465,39.231785,-77.970619
405.590529,39.231729,-77.970520,0.000059,14.000000,0.444839,3.886129,10.113871,39.231718,-77.970477,39.231758,-77.970631
408.784155,39.231702,-77.970532,-0.000221,14.000000,0.448315,3.861794,10.138206,39.231691,-77.970489,39.231731,-77.970643
411.977781,39.231674,-77.970544,-0.000501,14.000000,0.451751,3.837741,10.162259,39.231663,-77.970501,39.231703,-77.970655
415.171408,39.231647,-77.970555,-0.000304,14.000000,0.454861,3.815976,10.184024,39.231636,-77.970514,39.231676,-77.970667
418.365034,39.231619,-77.970567,0.000054,14.000000,0.457161,3.799872,10.200128,39.231608,-77.970526,39.231649,-77.970679
421.558660,39.231592,-77.970579,-0.000092,14.000000,0.458068,3.793522,10.206478,39.231581,-77.970537,39.231622,-77.970691
424.752286,39.231565,-77.970591,0.000071,14.000000,0.456992,3.801054,10.198946,39.231554,-77.970549,39.231594,-77.970703
427.945912,39.231537,-77.970603,0.000023,14.000000,0.453436,3.825948,10.174052,39.231526,-77.970561,39.231567,-77.970715
431.139539,39.231510,-77.970615,-0.000246,14.000000,0.447096,3.870326,10.129674,39.231499,-77.970572,39.231539,-77.970726
434.333165,39.231483,-77.970627,0.000033,14.000000,0.437870,3.934907,10.065093,39.231471,-77.970583,39.231512,-77.970737
437.526791,39.231455,-77.970638,0.000059,14.000000,0.425766,4.019637,9.980363,39.231444,-77.970594,39.231484,-77.970748
440.720417,39.231428,-77.970650,0.000077,14.000000,0.410808,4.124343,9.875657,39.231416,-77.970605,39.231456,-77.970759
443.914043,39.231400,-77.970662,-0.000047,14.000000,0.393039,4.248727,9.751273,39.231388,-77.970615,39.231429,-77.970769
447.107670,39.231373,-77.970674,-0.000157,14.000000,0.372518,4.392372,9.607628,39.231360,-77.970626,39.231401,-77.970780
450.301296,39.231346,-77.970686,0.000037,14.000000,0.349323,4.554740,9.445260,39.231333,-77.970636,39.231373,-77.970790
453.494922,39.231318,-77.970698,0.000285,14.000000,0.323547,4.735173,9.264827,39.231305,-77.970646,39.231345,-77.970800
456.688548,39.231291,-77.970710,0.000260,14.000000,0.295301,4.932894,9.067106,39.231277,-77.970655,39.231317,-77.970809
459.882175,39.231264,-77.970721,0.000156,14.000000,0.264713,5.147012,8.852988,39.231249,-77.970665,39.231289,-77.970819
463.075801,39.231236,-77.970733,0.000240,14.000000,0.231925,5.376522,8.623478,39.231221,-77.970674,39.231261,-77.970828
466.269427,39.231209,-77.970745,0.000185,14.000000,0.197098,5.620313,8.379687,39.231193,-77.970683,39.231233,-77.970837
469.463053,39.231181,-77.970757,0.000204,14.000000,0.160405,5.877168,8.122832,39.231165,-77.970692,39.231205,-77.970846
472.656679,39.231154,-77.970768,0.000066,14.000000,0.122032,6.145773,7.854227,39.231136,-77.970701,39.231176,-77.970855
475.850306,39.231127,-77.970780,0.000123,14.000000,0.082183,6.424720,7.575280,39.231108,-77.970709,39.231148,-77.970863
479.043932,39.231099,-77.970792,0.000348,14.000000,0.041069,6.712516,7.287484,39.231080,-77.970718,39.231120,-77.970872
482.237558,39.231072,-77.970803,0.000324,14.000000,-0.001084,7.007588,6.992412,39.231052,-77.970726,39.231092,-77.970880
485.431184,39.231044,-77.970815,0.000265,14.000000,-0.044042,7.308292,6.691708,39.231024,-77.970735,39.231063,-77.970889
488.624810,39.231017,-77.970827,-0.000077,14.000000,-0.087560,7.612918,6.387082,39.230995,-77.970743,39.231035,-77.970897
491.818437,39.230989,-77.970838,-0.000646,14.000000,-0.131386,7.919704,6.080296,39.230967,-77.970751,39.231007,-77.970905
495.012063,39.230962,-77.970850,-0.001258,14.000000,-0.175569,8.228982,5.771018,39.230938,-77.970759,39.230979,-77.970913
498.205689,39.230935,-77.970862,-0.001811,14.000000,-0.220894,8.546259,5.453741,39.230910,-77.970768,39.230951,-77.970922
501.399315,39.230907,-77.970874,-0.002172,14.000000,-0.268316,8.878214,5.121786,39.230881,-77.970776,39.230923,-77.970930
504.592942,39.230880,-77.970886,-0.003647,14.000000,-0.318612,9.230284,4.769716,39.230852,-77.970785,39.230895,-77.970938
507.786568,39.230853,-77.970898,-0.006008,14.000000,-0.371900,9.603303,4.396697,39.230823,-77.970794,39.230867,-77.970946
510.980194,39.230826,-77.970912,-0.007616,14.000000,-0.427867,9.995068,4.004932,39.230792,-77.970804,39.230839,-77.970955
514.173820,39.230799,-77.970926,-0.009665,14.000000,-0.485318,10.397229,3.602771,39.230762,-77.970815,39.230812,-77.970964
517.367446,39.230773,-77.970941,-0.011014,14.000000,-0.542756,10.799295,3.200705,39.230731,-77.970828,39.230785,-77.970975
520.561073,39.230747,-77.970957,-0.010453,14.000000,-0.598724,11.191069,2.808931,39.230701,-77.970842,39.230759,-77.970986
523.754699,39.230722,-77.970975,-0.011988,14.000000,-0.652294,11.566061,2.433939,39.230671,-77.970858,39.230732,-77.971000
526.948325,39.230697,-77.970994,-0.016641,14.000000,-0.702551,11.917857,2.082143,39.230640,-77.970876,39.230706,-77.971014
530.141951,39.230672,-77.971014,-0.020828,14.000000,-0.748607,12.240251,1.759749,39.230609,-77.970898,39.230682,-77.971030
533.335577,39.230649,-77.971036,-0.023469,14.000000,-0.789626,12.527385,1.472615,39.230578,-77.970924,39.230658,-77.971049
536.529204,39.230628,-77.971061,-0.025896,14.000000,-0.824839,12.773875,1.226125,39.230548,-77.970954,39.230635,-77.971071
539.722830,39.230608,-77.971087,-0.028127,14.000000,-0.852148,12.965036,1.034964,39.230519,-77.970988,39.230615,-77.971095
542.916456,39.230590,-77.971116,-0.028212,14.000000,-0.869579,13.087050,0.912950,39.230494,-77.971027,39.230596,-77.971122
546.110082,39.230574,-77.971147,-0.026911,14.000000,-0.875333,13.127328,0.872672,39.230472,-77.971069,39.230581,-77.971152
549.303708,39.230560,-77.971180,-0.027530,14.000000,-0.869250,13.084753,0.915247,39.230454,-77.971113,39.230567,-77.971184
552.497335,39.230548,-77.971214,-0.029029,14.000000,-0.851419,12.959931,1.040069,39.230439,-77.971160,39.230557,-77.971218
555.690961,39.230539,-77.971249,-0.028282,14.000000,-0.823583,12.765079,1.234921,39.230428,-77.971209,39.230550,-77.971253
558.884587,39.230533,-77.971285,-0.024869,14.000000,-0.787703,12.513924,1.486076,39.230422,-77.971259,39.230546,-77.971288
562.078213,39.230529,-77.971322,-0.022311,14.000000,-0.745906,12.221341,1.778659,39.230419,-77.971306,39.230545,-77.971324
565.271840,39.230527,-77.971359,-0.022792,14.000000,-0.699009,11.893062,2.106938,39.230419,-77.971353,39.230546,-77.971360
568.465466,39.230527,-77.971396,-0.022601,14.000000,-0.647903,11.535318,2.464682,39.230422,-77.971400,39.230549,-77.971395
571.659092,39.230529,-77.971432,-0.021050,14.000000,-0.593527,11.154692,2.845308,39.230428,-77.971446,39.230554,-77.971429
574.852718,39.230533,-77.971469,-0.020241,14.000000,-0.536852,10.757965,3.242035,39.230437,-77.971490,39.230561,-77.971463
578.046344,39.230538,-77.971505,-0.019408,14.000000,-0.478852,10.351964,3.648036,39.230447,-77.971533,39.230570,-77.971496
581.239971,39.230546,-77.971541,-0.019873,14.000000,-0.421011,9.947077,4.052923,39.230460,-77.971575,39.230581,-77.971528
584.433597,39.230555,-77.971576,-0.019659,14.000000,-0.364840,9.553878,4.446122,39.230474,-77.971615,39.230593,-77.971558
587.627223,39.230566,-77.971611,-0.018104,14.000000,-0.311537,9.180759,4.819241,39.230490,-77.971654,39.230606,-77.971588
590.820849,39.230579,-77.971644,-0.018269,14.000000,-0.261435,8.830042,5.169958,39.230508,-77.971691,39.230620,-77.971617
594.014475,39.230593,-77.971676,-0.018299,14.000000,-0.214437,8.501058,5.498942,39.230526,-77.971727,39.230635,-77.971644
597.208102,39.230608,-77.971708,-0.017969,14.000000,-0.169806,8.188640,5.811360,39.230547,-77.971761,39.230652,-77.971670
600.401728,39.230625,-77.971738,-0.017706,14.000000,-0.126634,7.886441,6.113559,39.230568,-77.971793,39.230669,-77.971695
603.595354,39.230643,-77.971767,-0.016728,14.000000,-0.084183,7.589279,6.410721,39.230591,-77.971824,39.230687,-77.971718
606.788980,39.230662,-77.971794,-0.016152,14.000000,-0.042433,7.297030,6.702970,39.230614,-77.971852,39.230706,-77.971741
609.982607,39.230683,-77.971820,-0.015301,14.000000,-0.001653,7.011573,6.988427,39.230639,-77.971879,39.230726,-77.971762
613.176233,39.230704,-77.971845,-0.014354,14.000000,0.037900,6.734697,7.265303,39.230664,-77.971904,39.230747,-77.971782
616.369859,39.230726,-77.971869,-0.013594,14.000000,0.075989,6.468080,7.531920,39.230690,-77.971928,39.230769,-77.971801
619.563485,39.230749,-77.971891,-0.012769,14.000000,0.112387,6.213288,7.786712,39.230716,-77.971950,39.230791,-77.971818
622.757111,39.230773,-77.971913,-0.012727,14.000000,0.146892,5.971759,8.028241,39.230743,-77.971970,39.230813,-77.971835
625.950738,39.230797,-77.971932,-0.012511,14.000000,0.179315,5.744797,8.255203,39.230770,-77.971989,39.230836,-77.971851
629.144364,39.230822,-77.971951,-0.012447,14.000000,0.209491,5.533566,8.466434,39.230798,-77.972007,39.230860,-77.971865
632.337990,39.230848,-77.971969,-0.012751,14.000000,0.237274,5.339085,8.660915,39.230826,-77.972024,39.230883,-77.971879
635.531616,39.230874,-77.971985,-0.011673,14.000000,0.262540,5.162220,8.837780,39.230854,-77.972039,39.230907,-77.971891
638.725242,39.230900,-77.971999,-0.010110,14.000000,0.285188,5.003685,8.996315,39.230883,-77.972053,39.230931,-77.971903
641.918869,39.230927,-77.972013,-0.010008,14.000000,0.305138,4.864036,9.135964,39.230911,-77.972066,39.230956,-77.971914
645.112495,39.230954,-77.972026,-0.010619,14.000000,0.322332,4.743674,9.256326,39.230940,-77.972078,39.230981,-77.971924
648.306121,39.230982,-77.972037,-0.010150,14.000000,0.336737,4.642841,9.357159,39.230970,-77.972089,39.231006,-77.971933
651.499747,39.231010,-77.972047,-0.009040,14.000000,0.348339,4.561626,9.438374,39.230999,-77.972098,39.231032,-77.971942
654.693373,39.231038,-77.972056,-0.008321,14.000000,0.357148,4.499964,9.500036,39.231028,-77.972107,39.231058,-77.971949
